Key,Context,Example,Source
PluginToolbarText,,,Event Log
MainToolbarButtonText,,,Event Log
MainToolbarButtonTooltip,,,Opens and closes the Event Log window
BaseMainWindowTitle,,,Event Log
AncestryLabel,,,Ancestry
SourceEnvironmentLabel,,,Source Env
TargetEnvironmentLabel,,,Target Env
ArgumentsSectionLabel,,,Arguments
ArgumentTypeHeader,,,Type
ArgumentValueHeader,,,Value
PrintPrefix,,,[Event Log Plugin]
ListeningToEventsWithRoots,,,Now listening to events using the following roots taken from current selection:
ListeningToEventsInDataModel,,,Now listening to all events in the DataModel. You can also select roots to listen to by selecting instances in the Explorer.